Title,Name,Year,Journal,ArticleURL,Abstract,AuthorCount,Cites,CitesPerAuthor,CitesPerYear,CitesURL,DOI,Age,ECC,FullTextURL,GSRank,Publisher,QueryDate,RelatedURL,Type
Effect of early treatment with metformin on risk of emergency care and hospitalization among patients with COVID-19: The TOGETHER randomized platform …,"G Reis, EASM Silva, DCM Silva, L Thabane, ...",2022,The Lancet Regional …,https://www.thelancet.com/journals/lanam/article/PIIS2667-193X(21)00138-1/fulltext?uuid=uuid%3A2ff97f32-4308-4a3f-8ec2-b4778b5e8a32,Background Observational studies have postulated a therapeutic role of metformin in treating COVID-19. We conducted an adaptive platform clinical trial to determine whether …,5,63,13,21,https://scholar.google.com/scholar?cites=6427628347906070462&as_sdt=2005&sciodt=2007&hl=en,,3,63,https://www.thelancet.com/journals/lanam/article/PIIS2667-193X(21)00138-1/fulltext?uuid=uuid%3A2ff97f32-4308-4a3f-8ec2-b4778b5e8a32,11,thelancet.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:vhcsae2FM1kJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Mobile health applications for HIV prevention and care in Africa,"JI Forrest, M Wiens, S Kanters, ...",2015,Current Opinion in …,https://journals.lww.com/co-hivandaids/fulltext/2015/11000/Mobile_health_applications_for_HIV_prevention_and.11.aspx,The potential for m-health in Africa is numerous and should not be limited only to direct patient-care focused applications. Although the use of smart phone technology is on the rise …,4,82,21,8.2,https://scholar.google.com/scholar?cites=13311392201902297564&as_sdt=2005&sciodt=2007&hl=en,,10,82,https://www.academia.edu/download/39976811/Mobile_health_applications_for_HIV_preve20151113-19563-1k2zf6j.pdf,12,journals.lww.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:3JFKTK6Qu7gJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Interferon treatments for SARS-CoV-2: challenges and opportunities,"D Jhuti, A Rawat, CM Guo, LA Wilson, EJ Mills, ...",2022,Infectious diseases and …,https://link.springer.com/article/10.1007/s40121-022-00633-9,"Interferon (IFN) therapies are used to treat a variety of infections and diseases and could be used to treat SARS-CoV-2. However, optimal use and timing of IFN therapy to treat SARS …",6,36,6,12,https://scholar.google.com/scholar?cites=17242590999997442782&as_sdt=2005&sciodt=2007&hl=en,10.1007/s40121-022-00633-9,3,36,https://link.springer.com/article/10.1007/s40121-022-00633-9,13,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:3uoxyij9Se8J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Drug resistance mutations after the first 12 months on antiretroviral therapy and determinants of virological failure in Rwanda,"JA Ndahimana, DJ Riedel, ...",2016,Tropical Medicine & …,https://onlinelibrary.wiley.com/doi/abs/10.1111/tmi.12717,Objective To evaluate HIV drug resistance (HIVDR) and determinants of virological failure in a large cohort of patients receiving first‐line tenofovir‐based antiretroviral therapy (ART) …,3,62,21,6.89,https://scholar.google.com/scholar?cites=12652520093728835524&as_sdt=2005&sciodt=2007&hl=en,10.1111/tmi.12717,9,62,https://onlinelibrary.wiley.com/doi/pdf/10.1111/tmi.12717,14,Wiley Online Library,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:xAczRP3Hlq8J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Association between Internet use and body dissatisfaction among young females: Cross-sectional analysis of the Canadian Community Health Survey,"A Carter, JI Forrest, A Kaida",2017,Journal of medical Internet research,https://www.jmir.org/2017/2/e39/,"Background Recent research suggests Internet exposure, including Facebook use, is positively correlated with body dissatisfaction, especially among girls and young women …",3,58,19,7.25,https://scholar.google.com/scholar?cites=3299900405832524389&as_sdt=2005&sciodt=2007&hl=en,,8,58,https://www.jmir.org/2017/2/e39/,15,jmir.org,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:ZaLQe--Zyy0J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Including online-recruited seeds: a respondent-driven sample of men who have sex with men,"NJ Lachowsky, A Lal, JI Forrest, KG Card, Z Cui, ...",2016,Journal of medical …,https://www.jmir.org/2016/3/e51/3360,"Background: Technology has changed the way men who have sex with men (MSM) seek sex and socialize, which may impact the implementation of respondent-driven sampling …",6,57,10,6.33,https://scholar.google.com/scholar?cites=17692282135172880988&as_sdt=2005&sciodt=2007&hl=en,,9,57,https://www.jmir.org/2016/3/e51/3360,16,jmir.org,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:XBr4PN2ch_UJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Improving health outcomes through concurrent HIV program scale-up and health system development in Rwanda: 20 years of experience,"S Nsanzimana, K Prabhu, H McDermott, E Karita, ...",2015,BMC medicine,https://link.springer.com/article/10.1186/s12916-015-0443-z,The 1994 genocide against the Tutsi destroyed the health system in Rwanda. It is impressive that a small country like Rwanda has advanced its health system to the point of …,5,60,12,6,https://scholar.google.com/scholar?cites=11321442912457972707&as_sdt=2005&sciodt=2007&hl=en,10.1186/s12916-015-0443-z,10,60,https://link.springer.com/article/10.1186/s12916-015-0443-z,17,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:49vrZVjYHZ0J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
"Trends and level of control of hypertension among adults attending an ambulatory HIV clinic in Kampala, Uganda: a retrospective study","R Kalyesubula, A Kayongo, FC Semitala, ...",2016,BMJ global …,https://gh.bmj.com/content/1/3/e000055.abstract,"Background With an ageing HIV-positive population, sub-Saharan Africa is now facing a dual epidemic of communicable and non-communicable diseases (NCDs). This study aimed …",4,51,13,5.67,https://scholar.google.com/scholar?cites=8509619530614506025&as_sdt=2005&sciodt=2007&hl=en,,9,51,https://gh.bmj.com/content/bmjgh/1/3/e000055.full.pdf,18,gh.bmj.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:KQIBkOA9GHYJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
HIV care continuum in Rwanda: a cross-sectional analysis of the national programme,"S Nsanzimana, S Kanters, E Remera, JI Forrest, ...",2015,The lancet HIV,https://www.thelancet.com/journals/lanhiv/article/PIIS2352-3018(15)00024-7/abstract,Background Rwanda has made remarkable progress towards HIV care programme with strong national monitoring and surveillance. Knowledge about the HIV care continuum …,5,65,13,6.5,https://scholar.google.com/scholar?cites=17561208303091835765&as_sdt=2005&sciodt=2007&hl=en,,10,65,,19,thelancet.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:deNtjOjxtfMJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
The rise and fall of hydroxychloroquine for the treatment and prevention of COVID-19,"Z Lee, CR Rayner, JI Forrest, ...",2020,… American journal of …,https://pmc.ncbi.nlm.nih.gov/articles/PMC7790108/,"The efficacy and safety of hydroxychloroquine (HCQ) for the prevention and treatment of COVID-19 has received great attention, and most notably, the enthusiasm for HCQ has been …",4,38,10,7.6,https://scholar.google.com/scholar?cites=9899218699468848836&as_sdt=2005&sciodt=2007&hl=en,,5,38,https://pmc.ncbi.nlm.nih.gov/articles/PMC7790108/,20,pmc.ncbi.nlm.nih.gov,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:xL6-d_UWYYkJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
"Gay and bisexual men's awareness and knowledge of treatment as prevention: findings from the Momentum Health Study in Vancouver, Canada","A Carter, N Lachowsky, A Rich, ...",2015,Journal of the …,https://onlinelibrary.wiley.com/doi/abs/10.7448/IAS.18.1.20039,"Introduction Awareness and knowledge of treatment as prevention (TasP) was assessed among HIV‐positive and HIV‐negative gay, bisexual and other men who have sex with men …",4,49,12,4.9,https://scholar.google.com/scholar?cites=12238922031917673600&as_sdt=2005&sciodt=2007&hl=en,10.7448/IAS.18.1.20039,10,49,https://onlinelibrary.wiley.com/doi/pdfdirect/10.7448/IAS.18.1.20039,21,Wiley Online Library,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:gKwnUr5i2akJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
"Substance use as a mechanism for social inclusion among gay, bisexual, and other men who have sex with men in Vancouver, Canada","B W. Hawkins, HL Armstrong, S Kesselring, ...",2019,Substance Use & …,https://www.tandfonline.com/doi/abs/10.1080/10826084.2019.1621901,"Background: Previous research demonstrates that substance use preferences and social-sexual environments are highly interrelated for gay, bisexual, and other men who have sex …",4,32,8,5.33,https://scholar.google.com/scholar?cites=1963182504140451094&as_sdt=2005&sciodt=2007&hl=en,10.1080/10826084.2019.1621901,6,32,https://pmc.ncbi.nlm.nih.gov/articles/PMC7055638/pdf/nihms-1531343.pdf,22,Taylor &Francis,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:Fq2NDBagPhsJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Fluvoxamine for the early treatment of COVID-19: a meta-analysis of randomized clinical trials,"CM Guo, O Harari, C Chernecki, ...",2022,… American Journal of …,https://pmc.ncbi.nlm.nih.gov/articles/PMC9128689/,Fluvoxamine is widely prescribed as an antidepressant. Recent studies show the drug may have a clinical benefit in treating COVID-19. We aimed to perform a meta-analysis of the …,4,21,5,7,https://scholar.google.com/scholar?cites=4317273401258580271&as_sdt=2005&sciodt=2007&hl=en,,3,21,https://pmc.ncbi.nlm.nih.gov/articles/PMC9128689/,23,pmc.ncbi.nlm.nih.gov,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:L5lC2EgJ6jsJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
"Exploring the role of sex-seeking apps and websites in the social and sexual lives of gay, bisexual and other men who have sex with men: a cross-sectional study","KG Card, NJ Lachowsky, Z Cui, S Shurgold, ...",2016,Sexual …,https://www.publish.csiro.au/SH/SH16150,"Background The objective of this study was to explore the relationship between online sex-seeking, community/social attachment and sexual behaviour. Methods: Respondent-driven …",5,39,8,4.33,https://scholar.google.com/scholar?cites=5868272055085701598&as_sdt=2005&sciodt=2007&hl=en,,9,39,https://pmc.ncbi.nlm.nih.gov/articles/PMC5572510/pdf/nihms889860.pdf,24,CSIRO Publishing,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:3hm8uFdKcFEJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Thinking upstream: the roles of international health and drug policies in public health responses to chemsex,"O Stevens, JI Forrest",2018,Sexual Health,https://www.publish.csiro.au/sh/sh17153,"Chemsex is a growing public health concern in urban centres, and few interventions exist to mitigate the significant sexual, drug-related, and social harms potentially experienced by …",2,28,14,4,https://scholar.google.com/scholar?cites=4829756692462112868&as_sdt=2005&sciodt=2007&hl=en,,7,28,,25,CSIRO Publishing,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:ZBDFZR--BkMJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
"An event-level analysis of the interpersonal factors associated with condomless anal sex among gay, bisexual, and other men who have sex with men (MSM) with …","KG Card, NJ Lachowsky, Z Cui, S Shurgold, ...",2017,AIDS Education and …,https://guilfordjournals.com/doi/abs/10.1521/aeap.2017.29.2.154,"The interpersonal determinants of condomless anal sex (CAS) within online-initiated sexual relationships remain poorly understood. Therefore, respondent-driven sampling was used to …",5,31,6,3.88,https://scholar.google.com/scholar?cites=18358758492980621874&as_sdt=2005&sciodt=2007&hl=en,10.1521/aeap.2017.29.2.154,8,31,https://pmc.ncbi.nlm.nih.gov/articles/PMC5564309/pdf/nihms889866.pdf,26,Guilford Press,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:MrJLm5Rpx_4J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Impact of implementing performance-based financing on childhood malnutrition in Rwanda,"A Binagwaho, J Condo, C Wagner, F Ngabo, ...",2014,BMC Public Health,https://link.springer.com/article/10.1186/1471-2458-14-1132,"Background Malnutrition remains a serious concern in Rwanda, particularly among children under-5 years. Performance-based financing (PBF), an innovative health systems financing …",5,39,8,3.55,https://scholar.google.com/scholar?cites=16966247403501750289&as_sdt=2005&sciodt=2007&hl=en,10.1186/1471-2458-14-1132,11,39,https://link.springer.com/article/10.1186/1471-2458-14-1132,27,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:EYgdWR84dOsJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
Matched vs Nonmatched Placebos in a Randomized Trial of COVID-19 Treatments,"G Reis, LCM Savassi, TS Ferreira, LLF Reis, ...",2024,JAMA Network …,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2818862,Importance Matched placebo interventions are complex and resource intensive. Recent evidence suggests matched placebos may not always be necessary. Previous studies have …,5,0,0,0,,,1,0,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2818862,28,jamanetwork.com,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:CcJnczARO9MJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Effect of spirulina on risk of hospitalization among patients with COVID-19: the TOGETHER randomized trial,"G Reis, EASM Silva, DCM Silva, L Thabane, ...",2024,The American Journal of …,https://www.sciencedirect.com/science/article/pii/S0002916524005884,"Background Algae-derived nutraceuticals, such as spirulina, have been reported to have biological activities that may minimize clinical consequences to COVID-19 infections …",5,1,0,1,https://scholar.google.com/scholar?cites=3498570530012610502&as_sdt=2005&sciodt=2007&hl=en,,1,1,https://ajcn.nutrition.org/article/S0002-9165(24)00588-4/pdf,29,Elsevier,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:xj8NX1xrjTAJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,
Early treatment of COVID-19 disease: a missed opportunity,"JI Forrest, CR Rayner, JJH Park, EJ Mills",2020,Infectious diseases and therapy,https://link.springer.com/article/10.1007/s40121-020-00349-8,"Antivirals have demonstrated efficacy in treating other infectious diseases in early stages of disease, reducing morbidity, mortality, and the likelihood of onward transmission. At the time …",4,22,6,4.4,https://scholar.google.com/scholar?cites=13578632100252623761&as_sdt=2005&sciodt=2007&hl=en,10.1007/s40121-020-00349-8,5,22,https://link.springer.com/article/10.1007/s40121-020-00349-8,30,Springer,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:kSNG1_P9cLwJ:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
"A multi-center, adaptive, randomized, platform trial to evaluate the effect of repurposed medicines in outpatients with early coronavirus disease 2019 (COVID …","G Reis, EASM Silva, DCM Silva, ...",2021,Gates Open …,https://gatesopenresearch.org/articles/5-117,"Background: Although vaccines are currently available for coronavirus disease 2019 (COVID-19), there remains a need for an effective and affordable outpatient treatment for …",4,14,4,3.5,https://scholar.google.com/scholar?cites=4490430100987542830&as_sdt=2005&sciodt=2007&hl=en,,4,14,https://gatesopenresearch.org/articles/5-117,31,gatesopenresearch.org,"July 6, 2025 7:45 AM (PDT)",https://scholar.google.com/scholar?q=related:Ln0VsmI2UT4J:scholar.google.com/&scioq=author:%22jamie+i+forrest%22&hl=en&as_sdt=2007,HTML
